gene_id,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10
FUN_008570,1151,1560,1447,1406,2600,2186,1716,2521,2080,3130
FUN_008571,83,89,72,98,194,201,156,164,135,202
FUN_008572,1624,1513,1273,1380,1500,1567,2290,1379,1447,1852
FUN_008573,148,154,73,122,146,124,237,142,134,178
FUN_008574,4095,6607,3741,3759,4348,2960,4172,3915,19315,6810
FUN_008575,16164,20385,27558,21084,20826,18059,16367,19836,17860,19399
FUN_008576,76,175,146,202,219,178,124,173,158,240
FUN_008577,148,507,318,452,415,379,299,346,266,674
FUN_008579,509,1193,577,751,1203,1221,996,950,1160,1510
FUN_008580,39,60,82,57,119,99,67,118,119,139
FUN_008581,8,19,11,10,11,14,3,15,21,23
FUN_008582,13466,21452,17244,15725,24076,20111,15312,18313,17245,22929
FUN_008583,553,689,634,537,1567,1211,987,1465,1244,1832
FUN_008584,700,969,1114,750,1268,1149,742,1310,1156,1376
FUN_008585,233,394,311,239,809,714,373,983,897,1061
FUN_008586,239,399,203,318,550,425,434,530,431,656
FUN_008587,1544,1878,1933,1347,1998,1572,1812,1762,1664,2533
FUN_008588,151,242,77,114,267,240,124,220,221,336
FUN_008590,35,34,42,36,87,92,43,79,80,127
FUN_008592,37,37,42,35,88,92,42,83,80,126
FUN_008594,3,7,0,8,19,7,0,5,4,18
FUN_008595,6,7,8,7,17,3,0,10,0,11
FUN_008596,3,0,0,4,0,4,5,0,6,4
FUN_008597,177,185,100,128,378,397,258,410,430,469
FUN_008598,56,85,76,57,172,141,111,180,199,229
FUN_008599,7,24,13,9,12,5,12,0,0,16
FUN_008600,32,40,14,58,48,25,45,24,24,52
FUN_008601,45,103,66,66,101,88,68,81,69,117
FUN_008602,1226,1620,733,1084,1808,1520,1534,1941,1515,2032
FUN_008603,197,370,100,244,371,326,407,455,332,505
FUN_008604,232,332,363,366,540,443,335,579,443,663
FUN_008605,152,152,147,147,232,138,193,141,141,298
FUN_008606,0,10,12,13,6,4,26,0,8,13
FUN_008607,120,152,170,145,267,159,133,237,186,252
FUN_008608,192,237,239,314,544,488,351,562,540,660
FUN_008610,84,97,103,131,152,142,110,233,163,204
FUN_008611,96,128,118,82,190,196,118,186,191,266
FUN_008612,581,817,731,694,841,743,788,901,740,1043
FUN_008613,384,537,331,463,787,630,477,802,640,874
FUN_008614,779,964,847,920,2887,2352,1513,2882,2199,3210
FUN_008615,420,545,571,475,785,747,566,808,637,1028
FUN_008616,118,141,151,136,337,206,181,281,244,349
FUN_008617,375,528,649,615,928,614,504,792,656,984
FUN_008618,8289,17809,12364,7468,17042,10544,9631,28013,10301,25777
FUN_008619,770,950,632,688,1595,914,807,1089,880,1429
FUN_008620,69,142,113,190,19,24,60,19,0,28
FUN_008621,293,220,192,118,124,217,259,135,105,196
FUN_008622,102,206,161,230,320,262,233,277,299,366
FUN_008623,255,354,289,282,731,601,457,705,589,762
FUN_008624,2823,2512,3257,433,5345,3654,1891,4134,3791,4406
FUN_008625,0,0,0,5,58,62,250,73,96,87
FUN_008626,31,23,8,23,28,33,35,23,43,48
FUN_008627,61,65,80,89,92,79,95,75,50,100
FUN_008628,0,28,32,0,59,37,0,26,41,50
FUN_008629,7,20,27,0,983,1500,366,2097,2035,1600
FUN_008630,0,0,0,0,186,349,234,467,433,361
FUN_008631,241,230,193,118,571,499,239,574,336,517
FUN_008632,120,125,102,57,333,298,90,284,195,232
FUN_008633,0,0,0,0,188,249,32,236,48,243
